French,English
partie,part
histoire,history
chercher,search
seulement,only
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
car,because
mettre,to put
laisse,leash
chaque,each
arrivé,come
devrait,should
bébé,baby
longtemps,long time
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
type,type
leurs,their
donné,given
corps,body
endroit,place
yeux,eyes
façon,way
dont,whose
trouve,find
premier,first
perdu,lost
première,first
côté,side
pouvoir,power
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
bureau,office
